sid,sequence
P636,"['E19','E','E','C','C','C','C','C','C','N']"
P637,"['C','C','S']"
P640,"['E33','E116','E121','C','S']"
P642,"['E39','C','C','E6','E5','S']"
P643,"['E202','S']"
P645,"['C','C','C','S']"
P646,"['E6','E5','C','S']"
P648,"['E107','M','C','C','E153','S']"
P649,"['E130','C','N']"
P651,"['E18','E110','E179','M','S']"
P654,"['E67','E113','E116','M','C','S']"
P656,"['E7','E142','S']"
P660,"['E19','E75','E105','E','C','E6','S']"
P661,"['E154','S']"
P664,"['E149','C','S']"
P665,"['E201','C','E104','C','S']"
P668,"['E19','E105','E189','E104','C','S']"
P669,"['E18','E71','E121','E141','C','C','C','C','N']"
P670,"['E91','E6','E125''E130','N']"
P671,"['C','S']"
P672,"['E17','E110','E5','S']"
P673,"['E32','C','C','S']"
P676,"['E107','E19','E','M','E','M','C','E6','S']"
P677,"['E19','S']"
P678,"['E19','E119''E120','S']"
P679,"['E105','S']"
P681,"['E110','E77','E210','C','C','C','E5','S']"
P682,"['E117''E118','C','C','C','C','S']"
P683,"['E84','E212','C','S']"
P684,"['E71','S']"
P686,"['C','S']"
P687,"['C','S']"
P688,"['E112','E','M','C','E20','S']"
P689,"['E109','E19','E105','E119','C','C','C','C','S']"
P690,"['C','S']"
P694,"['E','C','S']"
P696,"['E78','C','N']"
P697,"['M','E153','C','S']"
P698,"['E107','E19','E183','E211','C','S']"
P700,"['E6','S']"
P704,"['C','C','N']"
P706,"['E6','S']"
P707,"['E25','C','C','S']"
P709,"['E17','E196','S']"
P710,"['E18','E112''E108','E211''E210','S']"
P711,"['E122','E125','N']"
P712,"['C','C','C','S']"
P714,"['E35','E','E','C','S']"
P715,"['E121','E119','C','E20','S']"
P716,"['E126''E130','S']"
P718,"['E19','C','S']"
P722,"['E106','E55','E105','S']"
P725,"['E198','S']"
P726,"['M','E31','C','S']"
P727,"['E113''E119','S']"
P728,"['E17','S']"
P729,"['C','S']"
P730,"['E19','E113','S']"
P731,"['E17','E6','S']"
P732,"['E17','E116','E117','C','C','C','S']"
P733,"['E116''E121','S']"
P734,"['E107','E100','S']"
P735,"['E166','E14','C','C','S']"
P736,"['M','C','C','C','S']"
P739,"['E20','S']"
P743,"['E17','C','S']"
P744,"['E29','M','C','S']"
P748,"['E17','S']"
P749,"['E110''E121','E185','E167','S']"
P750,"['E140''E187','E114''E121','E153','S']"
P754,"['E9','E125','E130','E6','S']"
P756,"['E3','C','S']"
P757,"['E90','E3','S']"
P758,"['E33','E121','C','C','C','C','S']"
P759,"['E121','E20','S']"
P760,"['E2','S']"
P762,"['E165','E119','E118','S']"
P764,"['E122''E123','C','S']"
P766,"['C','C','N']"
P768,"['E195','C','S']"
P769,"['E19','E208','E188','N']"
P770,"['E178','N']"
P773,"['E19','S']"
P775,"['E17','E105','E5','S']"
P777,"['C','S']"
P779,"['M','C','S']"
P783,"['C','N']"
P784,"['E95','C','S']"
P786,"['E103','M','C','C','C','S']"
P789,"['E174','M','C','C','C','S']"
P790,"['E18','E71','C','C','E6','C','S']"
P792,"['C','C','E105','N']"
