,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
13413,"frozenset({'A173', 'A52', 'A171'})",frozenset({'A211'}),0.299,0.7,0.222,0.7424749163879599,1.0606784519827999,0.012700000000000017,1.1649350649350654
13427,"frozenset({'A173', 'A171', 'A61'})",frozenset({'A211'}),0.323,0.7,0.206,0.6377708978328173,0.9111012826183105,-0.020100000000000007,0.8282051282051281
13441,"frozenset({'A173', 'A93', 'A171'})",frozenset({'A211'}),0.269,0.7,0.203,0.7546468401486989,1.0780669144981414,0.014700000000000019,1.2227272727272729
13455,"frozenset({'A171', 'A191', 'A201'})",frozenset({'A211'}),0.481,0.7,0.33,0.6860706860706861,0.9801009801009802,-0.006699999999999928,0.955629139072848
13553,"frozenset({'A171', 'A61', 'A191'})",frozenset({'A211'}),0.312,0.7,0.203,0.6506410256410257,0.9294871794871796,-0.01539999999999997,0.8587155963302754
13566,"frozenset({'A192', 'A171', 'A201'})",frozenset({'A211'}),0.34,0.7,0.24,0.7058823529411764,1.0084033613445378,0.0020000000000000018,1.02
13595,"frozenset({'A22', 'A171', 'A201'})",frozenset({'A211'}),0.338,0.7,0.248,0.7337278106508875,1.0481825866441252,0.011399999999999993,1.1266666666666667
13609,"frozenset({'A32', 'A171', 'A201'})",frozenset({'A211'}),0.446,0.7,0.299,0.6704035874439461,0.9577194106342088,-0.01319999999999999,0.910204081632653
13623,"frozenset({'A52', 'A171', 'A201'})",frozenset({'A211'}),0.415,0.7,0.304,0.7325301204819278,1.0464716006884682,0.013500000000000012,1.1216216216216222
13637,"frozenset({'A171', 'A61', 'A201'})",frozenset({'A211'}),0.5,0.7,0.318,0.636,0.9085714285714287,-0.03199999999999997,0.8241758241758244
13651,"frozenset({'A171', 'A84', 'A201'})",frozenset({'A211'}),0.405,0.7,0.274,0.6765432098765433,0.9664902998236333,-0.009499999999999953,0.9274809160305346
13665,"frozenset({'A93', 'A171', 'A201'})",frozenset({'A211'}),0.4,0.7,0.293,0.7324999999999999,1.0464285714285715,0.013000000000000012,1.1214953271028036
13819,"frozenset({'A173', 'A191', 'A201'})",frozenset({'A211'}),0.374,0.7,0.249,0.6657754010695187,0.9511077158135982,-0.012799999999999978,0.8976000000000002
13875,"frozenset({'A173', 'A32', 'A201'})",frozenset({'A211'}),0.328,0.7,0.221,0.673780487804878,0.9625435540069686,-0.008599999999999997,0.919626168224299
13889,"frozenset({'A173', 'A52', 'A201'})",frozenset({'A211'}),0.322,0.7,0.24,0.7453416149068323,1.064773735581189,0.014600000000000002,1.1780487804878048
13903,"frozenset({'A173', 'A61', 'A201'})",frozenset({'A211'}),0.356,0.7,0.223,0.6264044943820225,0.8948635634028893,-0.026199999999999973,0.8030075187969926
13917,"frozenset({'A173', 'A84', 'A201'})",frozenset({'A211'}),0.3,0.7,0.208,0.6933333333333334,0.9904761904761906,-0.0020000000000000018,0.9782608695652176
13931,"frozenset({'A173', 'A93', 'A201'})",frozenset({'A211'}),0.331,0.7,0.242,0.7311178247734138,1.0444540353905911,0.010300000000000004,1.1157303370786515
13945,"frozenset({'A32', 'A191', 'A201'})",frozenset({'A211'}),0.314,0.7,0.202,0.6433121019108281,0.9190172884440402,-0.017799999999999983,0.8410714285714289
13959,"frozenset({'A52', 'A191', 'A201'})",frozenset({'A211'}),0.301,0.7,0.205,0.6810631229235881,0.9729473184622687,-0.005699999999999983,0.9406250000000002
13973,"frozenset({'A191', 'A61', 'A201'})",frozenset({'A211'}),0.356,0.7,0.225,0.6320224719101124,0.9028892455858749,-0.02419999999999997,0.8152671755725193
13987,"frozenset({'A93', 'A191', 'A201'})",frozenset({'A211'}),0.285,0.7,0.2,0.7017543859649124,1.0025062656641606,0.0005000000000000282,1.005882352941177
14043,"frozenset({'A143', 'A101', 'A171', 'A114'})",frozenset({'A211'}),0.272,0.7,0.204,0.7499999999999999,1.0714285714285714,0.013599999999999973,1.1999999999999997
14103,"frozenset({'A143', 'A101', 'A114', 'A201'})",frozenset({'A211'}),0.308,0.7,0.226,0.7337662337662338,1.0482374768089056,0.01040000000000002,1.1268292682926835
14193,"frozenset({'A101', 'A171', 'A114', 'A201'})",frozenset({'A211'}),0.315,0.7,0.227,0.7206349206349206,1.0294784580498866,0.0065000000000000335,1.0738636363636365
14732,"frozenset({'A101', 'A171', 'A132', 'A201'})",frozenset({'A211'}),0.345,0.7,0.221,0.6405797101449275,0.9151138716356109,-0.020499999999999963,0.8346774193548389
14882,"frozenset({'A143', 'A101', 'A152', 'A14'})",frozenset({'A211'}),0.244,0.7,0.228,0.9344262295081968,1.3348946135831383,0.05720000000000003,4.575000000000004
14942,"frozenset({'A143', 'A101', 'A171', 'A14'})",frozenset({'A211'}),0.271,0.7,0.25,0.9225092250922509,1.3178703215603584,0.06029999999999999,3.8714285714285688
15004,"frozenset({'A143', 'A101', 'A173', 'A14'})",frozenset({'A211'}),0.217,0.7,0.202,0.9308755760368664,1.329822251481238,0.05010000000000003,4.340000000000005
15032,"frozenset({'A143', 'A101', 'A14', 'A201'})",frozenset({'A211'}),0.303,0.7,0.28,0.9240924092409242,1.3201320132013203,0.06790000000000004,3.952173913043483
15092,"frozenset({'A101', 'A152', 'A171', 'A14'})",frozenset({'A211'}),0.24,0.7,0.216,0.9,1.2857142857142858,0.048000000000000015,3.0000000000000013
15122,"frozenset({'A101', 'A152', 'A14', 'A201'})",frozenset({'A211'}),0.281,0.7,0.251,0.893238434163701,1.2760549059481443,0.05429999999999999,2.809999999999998
15183,"frozenset({'A173', 'A101', 'A171', 'A14'})",frozenset({'A211'}),0.224,0.7,0.201,0.8973214285714286,1.281887755102041,0.04420000000000002,2.921739130434784
15212,"frozenset({'A101', 'A171', 'A14', 'A201'})",frozenset({'A211'}),0.307,0.7,0.272,0.8859934853420196,1.265704979060028,0.05710000000000004,2.631428571428573
15244,"frozenset({'A173', 'A101', 'A14', 'A201'})",frozenset({'A211'}),0.244,0.7,0.219,0.8975409836065574,1.282201405152225,0.04820000000000002,2.928000000000002
15363,"frozenset({'A143', 'A101', 'A161', 'A152'})",frozenset({'A211'}),0.322,0.7,0.232,0.7204968944099379,1.0292812777284828,0.0066000000000000225,1.0733333333333337
15512,"frozenset({'A143', 'A101', 'A152', 'A171'})",frozenset({'A211'}),0.457,0.7,0.343,0.75054704595186,1.0722100656455142,0.02310000000000001,1.2026315789473685
15754,"frozenset({'A143', 'A101', 'A152', 'A173'})",frozenset({'A211'}),0.342,0.7,0.269,0.7865497076023392,1.1236424394319133,0.029600000000000015,1.405479452054795
